date,open,high,low,close,volume,code,amplitude,change_amount,change_percent,turnover_rate,amount
1990-02-16,0.047545148768886325,0.05147503233921432,0.047545148768886325,0.0498,940636800,CSCO.US,,,,0,0
1990-02-20,0.04972740925941597,0.05139999999776631,0.04805481852106563,0.0514,151862400,CSCO.US,6.7172,0.0016,3.2129,0,0
1990-02-21,0.050879641483013244,0.050879641483013244,0.04862548015148734,0.0503,70531200,CSCO.US,4.3855,-0.0011,-2.1401,0,0
1990-02-22,0.05079999999776723,0.05247189873187096,0.05079999999776723,0.0508,45216000,CSCO.US,3.3239,0.0005,0.994,0,0
1990-02-23,0.050857506359076474,0.05143689567202798,0.05027811704612497,0.0506,44697600,CSCO.US,2.2811,-0.0002,-0.3937,0,0
1990-02-26,0.050616753924401146,0.051453926699232204,0.04919999999776396,0.0492,26928000,CSCO.US,4.4544,-0.0014,-2.7668,0,0
1990-02-27,0.04920512163673686,0.05113725992090192,0.04920512163673686,0.0503,25574400,CSCO.US,3.9271,0.0011,2.2358,0,0
1990-02-28,0.050227881038731076,0.053057620815561,0.050227881038731076,0.0519,67968000,CSCO.US,5.6257,0.0016,3.1809,0,0
1990-03-01,0.051914643301874105,0.05249361701899539,0.05139999999776631,0.0514,28425600,CSCO.US,2.1072,-0.0005,-0.9634,0,0
1990-03-02,0.051385501856525136,0.052478810406663974,0.051385501856525136,0.0519,8438400,CSCO.US,2.1271,0.0005,0.9728,0,0
1990-03-05,0.051914643301874105,0.05249361701899539,0.05139999999776631,0.0514,2419200,CSCO.US,2.1072,-0.0005,-0.9634,0,0
1990-03-06,0.05139999999776631,0.05249361701899539,0.05082102628064504,0.0514,23904000,CSCO.US,3.2541,0.0,0.0,0,0
1990-03-07,0.051459282968262764,0.051459282968262764,0.04978476312198638,0.0503,18172800,CSCO.US,3.2578,-0.0011,-2.1401,0,0
1990-03-08,0.05031539456436344,0.05089521345178888,0.04979999999776304,0.0498,33523200,CSCO.US,2.1774,-0.0005,-0.994,0,0
1990-03-09,0.04979999999776304,0.05031539456436344,0.04979999999776304,0.0498,11145600,CSCO.US,1.0349,0.0,0.0,0,0
1990-03-12,0.04970683544085325,0.05137873417495698,0.04970683544085325,0.0508,20304000,CSCO.US,3.3572,0.001,2.008,0,0
1990-03-13,0.05082720588019014,0.053593749997719486,0.05082720588019014,0.0525,53020800,CSCO.US,5.446,0.0017,3.3465,0,0
1990-03-14,0.05250232557937653,0.05861472867991668,0.05250232557937653,0.0581,87350400,CSCO.US,11.6427,0.0056,10.6667,0,0
1990-03-15,0.05813259603955938,0.05813259603955938,0.0547849825356202,0.0553,38620800,CSCO.US,5.7618,-0.0028,-4.8193,0,0
1990-03-16,0.05524241732962584,0.05639999999776701,0.05524241732962584,0.0564,19929600,CSCO.US,2.0933,0.0011,1.9892,0,0
1990-03-19,0.056427131780776,0.05861472867991668,0.054754263563786064,0.0581,43027200,CSCO.US,6.8448,0.0017,3.0142,0,0
1990-03-20,0.058120363633917496,0.05863527272480491,0.05309999999776516,0.0531,43228800,CSCO.US,9.5271,-0.005,-8.6059,0,0
1990-03-21,0.05308523409142468,0.05475822328703322,0.05308523409142468,0.0536,19900800,CSCO.US,3.1506,0.0005,0.9416,0,0
1990-03-22,0.0536490396903165,0.05480832266081554,0.04978476312198638,0.0503,43776000,CSCO.US,9.3723,-0.0033,-6.1567,0,0
1990-03-23,0.050227881038731076,0.053057620815561,0.050227881038731076,0.0519,16905600,CSCO.US,5.6257,0.0016,3.1809,0,0
1990-03-26,0.05310570071039911,0.05419999999776491,0.05252636579355839,0.0542,41702400,CSCO.US,3.2247,0.0023,4.4316,0,0
1990-03-27,0.053626193245795095,0.055299999997764686,0.0531111757836506,0.0553,15926400,CSCO.US,4.0384,0.0011,2.0295,0,0
1990-03-28,0.05531515863464082,0.05531515863464082,0.054799999997764075,0.0548,9792000,CSCO.US,0.9316,-0.0005,-0.9042,0,0
1990-03-29,0.054799999997764075,0.054799999997764075,0.05364089306479139,0.0548,16272000,CSCO.US,2.1152,0.0,0.0,0,0
1990-03-30,0.053593749997719486,0.053593749997719486,0.05140624999781256,0.0525,28742400,CSCO.US,3.9918,-0.0023,-4.1971,0,0
1990-04-02,0.05082102628064504,0.051914643301874105,0.04972740925941597,0.0514,15868800,CSCO.US,4.1662,-0.0011,-2.0952,0,0
1990-04-03,0.05080669144762811,0.052478810406663974,0.05080669144762811,0.0519,8352000,CSCO.US,3.2531,0.0005,0.9728,0,0
1990-04-04,0.05189999999776694,0.052478810406663974,0.05189999999776694,0.0519,14284800,CSCO.US,1.1152,0.0,0.0,0,0
1990-04-05,0.05253698629909813,0.05253698629909813,0.05144246575120025,0.0517,8323200,CSCO.US,2.1089,-0.0002,-0.3854,0,0
1990-04-06,0.05137873417495698,0.0518931645546812,0.05079999999776723,0.0508,10771200,CSCO.US,2.1144,-0.0009,-1.7408,0,0
1990-04-09,0.051459282968262764,0.051459282968262764,0.05029999999776373,0.0503,6681600,CSCO.US,2.2821,-0.0005,-0.9843,0,0
1990-04-10,0.050294764395619966,0.051453926699232204,0.04810523559990796,0.0492,34790400,CSCO.US,6.6574,-0.0011,-2.1869,0,0
1990-04-11,0.04919999999776396,0.04977958114957008,0.048620418845957844,0.0492,24796800,CSCO.US,2.356,0.0,0.0,0,0
1990-04-12,0.04979999999776304,0.04979999999776304,0.04864036222291216,0.0498,13161600,CSCO.US,2.357,0.0006,1.2195,0,0
1990-04-16,0.04979999999776304,0.05031539456436344,0.0492201811103376,0.0498,5616000,CSCO.US,2.1992,0.0,0.0,0,0
1990-04-17,0.04920512163673686,0.05029999999776373,0.04862548015148734,0.0503,6566400,CSCO.US,3.3625,0.0005,1.004,0,0
1990-04-18,0.050221265820577475,0.05137873417495698,0.04970683544085325,0.0508,24480000,CSCO.US,3.3239,0.0005,0.994,0,0
1990-04-19,0.050242052563523765,0.05139999999776631,0.050242052563523765,0.0514,25142400,CSCO.US,2.2794,0.0006,1.1811,0,0
1990-04-20,0.05147503233921432,0.05147503233921432,0.04979999999776304,0.0498,8755200,CSCO.US,3.2588,-0.0016,-3.1128,0,0
1990-04-23,0.04978476312198638,0.050879641483013244,0.04920512163673686,0.0503,5356800,CSCO.US,3.3625,0.0005,1.004,0,0
1990-04-24,0.05142178841084952,0.05142178841084952,0.050842569267298014,0.0511,10281600,CSCO.US,1.1515,0.0008,1.5905,0,0
1990-04-25,0.05139999999776631,0.051914643301874105,0.05139999999776631,0.0514,6768000,CSCO.US,1.0071,0.0003,0.5871,0,0
1990-04-26,0.05139999999776631,0.05249361701899539,0.05139999999776631,0.0514,10713600,CSCO.US,2.1277,0.0,0.0,0,0
1990-04-27,0.05137873417495698,0.0518931645546812,0.05079999999776723,0.0508,4204800,CSCO.US,2.1268,-0.0006,-1.1673,0,0
1990-04-30,0.051941454543268456,0.054194181815900924,0.05142654545238104,0.0531,34329600,CSCO.US,5.4481,0.0023,4.5276,0,0
1990-05-01,0.05415727923403287,0.05415727923403287,0.05306384247990157,0.0539,28771200,CSCO.US,2.0592,0.0008,1.5066,0,0
1990-05-02,0.053614909088652574,0.054194181815900924,0.05309999999776516,0.0531,3139200,CSCO.US,2.03,-0.0008,-1.4842,0,0
1990-05-03,0.054220446531277736,0.054799999997764075,0.05364089306479139,0.0548,7228800,CSCO.US,2.1829,0.0017,3.2015,0,0
1990-05-04,0.054205587890707646,0.055299999997764686,0.054205587890707646,0.0553,5702400,CSCO.US,1.9971,0.0005,0.9124,0,0
1990-05-07,0.05532039170285617,0.05699481566592283,0.05532039170285617,0.0559,13536000,CSCO.US,3.0279,0.0006,1.085,0,0
1990-05-08,0.05691448118360753,0.05691448118360753,0.05524241732962584,0.0564,14486400,CSCO.US,2.9912,0.0005,0.8945,0,0
1990-05-09,0.05645878928758979,0.05645878928758979,0.0547849825356202,0.0553,9676800,CSCO.US,2.9677,-0.0011,-1.9504,0,0
1990-05-10,0.05589471210112716,0.05589471210112716,0.054799999997764075,0.0548,2793600,CSCO.US,1.9796,-0.0005,-0.9042,0,0
1990-05-11,0.056973806749734276,0.05755320139464683,0.0547849825356202,0.0553,29923200,CSCO.US,5.0515,0.0005,0.9124,0,0
1990-05-14,0.05645878928758979,0.05645878928758979,0.055299999997764686,0.0553,15235200,CSCO.US,2.0955,0.0,0.0,0,0
1990-05-15,0.05643657407180601,0.05643657407180601,0.05527824073851923,0.0556,24134400,CSCO.US,2.0946,0.0003,0.5425,0,0
1990-05-16,0.05645878928758979,0.05645878928758979,0.0547849825356202,0.0553,18720000,CSCO.US,3.0104,-0.0003,-0.5396,0,0
1990-05-17,0.055899999997763856,0.055899999997763856,0.05532039170285617,0.0559,6595200,CSCO.US,1.0481,0.0006,1.085,0,0
1990-05-18,0.05531515863464082,0.05589471210112716,0.054220446531277736,0.0548,45417600,CSCO.US,2.9951,-0.0011,-1.9678,0,0
1990-05-21,0.054220446531277736,0.05589471210112716,0.054220446531277736,0.0548,4032000,CSCO.US,3.0552,0.0,0.0,0,0
1990-05-22,0.054799999997764075,0.05531515863464082,0.054799999997764075,0.0548,22982400,CSCO.US,0.9401,0.0,0.0,0,0
1990-05-23,0.054779334914605626,0.05529429928513071,0.05419999999776491,0.0542,39715200,CSCO.US,1.9969,-0.0006,-1.0949,0,0
1990-05-24,0.055299999997764686,0.055299999997764686,0.054205587890707646,0.0553,8121600,CSCO.US,2.0192,0.0011,2.0295,0,0
1990-05-25,0.05359999999776577,0.05475822328703322,0.05308523409142468,0.0536,4003200,CSCO.US,3.0253,-0.0017,-3.0741,0,0
1990-05-29,0.053614909088652574,0.05477345454314927,0.05252072727051681,0.0531,20707200,CSCO.US,4.2028,-0.0005,-0.9328,0,0
1990-05-30,0.053593749997719486,0.053593749997719486,0.0519209558801436,0.0525,96278400,CSCO.US,3.1503,-0.0006,-1.1299,0,0
1990-05-31,0.05195238649382549,0.05587939464267724,0.05195238649382549,0.0553,102988800,CSCO.US,7.48,0.0028,5.3333,0,0
1990-06-01,0.05532039170285617,0.05699481566592283,0.05480518432960489,0.0559,103132800,CSCO.US,3.9596,0.0006,1.085,0,0
1990-06-04,0.05640659955038193,0.057499999997766754,0.055248881429621526,0.0575,48499200,CSCO.US,4.027,0.0016,2.8623,0,0
1990-06-05,0.05696770720992676,0.0603793326134591,0.05696770720992676,0.0598,56131200,CSCO.US,5.9333,0.0023,4.0,0,0
1990-06-06,0.05977913043252646,0.05977913043252646,0.058106086954328735,0.0592,23241600,CSCO.US,2.7977,-0.0006,-1.0033,0,0
1990-06-07,0.05975111856591198,0.05975111856591198,0.05692114093738655,0.0575,18144000,CSCO.US,4.7804,-0.0017,-2.8716,0,0
1990-06-08,0.0580720638517487,0.0580720638517487,0.05582120866369642,0.0564,6566400,CSCO.US,3.9145,-0.0011,-1.913,0,0
1990-06-11,0.054748967887728206,0.056421674309679946,0.054748967887728206,0.0561,3686400,CSCO.US,2.9658,-0.0003,-0.5319,0,0
1990-06-12,0.05647696334873193,0.06259476439562991,0.05589738219692054,0.0615,133401600,CSCO.US,11.9383,0.0054,9.6257,0,0
1990-06-13,0.06251452281932506,0.06251452281932506,0.06199999999776682,0.062,52099200,CSCO.US,0.8366,0.0005,0.813,0,0
1990-06-14,0.06259999999776378,0.06317962962737271,0.061505144030724705,0.0626,54374400,CSCO.US,2.7008,0.0006,0.9677,0,0
1990-06-15,0.06149999999776396,0.06259476439562991,0.06149999999776396,0.0615,6537600,CSCO.US,1.7488,-0.0011,-1.7572,0,0
1990-06-18,0.06258933901687289,0.06258933901687289,0.059240938164118365,0.0604,11923200,CSCO.US,5.4446,-0.0011,-1.7886,0,0
1990-06-19,0.0581263724413151,0.059799999997764926,0.0581263724413151,0.0598,20851200,CSCO.US,2.7709,-0.0006,-0.9934,0,0
1990-06-20,0.05982046908094126,0.06091513859049563,0.059240938164118365,0.0604,30124800,CSCO.US,2.7997,0.0006,1.0033,0,0
1990-06-21,0.05980560253480276,0.06089999999776471,0.059226215642646435,0.0609,9936000,CSCO.US,2.7712,0.0005,0.8278,0,0
1990-06-22,0.06089999999776471,0.06089999999776471,0.05980560253480276,0.0609,806400,CSCO.US,1.797,0.0,0.0,0,0
1990-06-25,0.06083601285947229,0.06083601285947229,0.05974276527108853,0.06,3600000,CSCO.US,1.7952,-0.0009,-1.4778,0,0
1990-06-26,0.05977913043252646,0.06035826086728721,0.058106086954328735,0.0592,4665600,CSCO.US,3.7536,-0.0008,-1.3333,0,0
1990-06-27,0.05977913043252646,0.05977913043252646,0.058106086954328735,0.0592,3801600,CSCO.US,2.8261,0.0,0.0,0,0
1990-06-28,0.05808540065640301,0.05917892425680041,0.05583402853793778,0.0586,153648000,CSCO.US,5.6502,-0.0006,-1.0135,0,0
1990-06-29,0.058620869563004954,0.05919999999776571,0.058106086954328735,0.0592,48268800,CSCO.US,1.8667,0.0006,1.0239,0,0
1990-07-02,0.059220667382070755,0.0603793326134591,0.0581263724413151,0.0598,38131200,CSCO.US,3.8057,0.0006,1.0135,0,0
1990-07-03,0.059220667382070755,0.0603793326134591,0.059220667382070755,0.0598,2851200,CSCO.US,1.9376,0.0,0.0,0,0
1990-07-05,0.05925764191915113,0.05925764191915113,0.058162663753253775,0.059,6508800,CSCO.US,1.8311,-0.0008,-1.3378,0,0
